instruction,context,response,category
Can I cancel or modify my order after I placed it?,Order related queries,"Once you have placed an order unfortunately you cannot change it.

You can cancel an order for a limited time after it's been placed. If this option shows as available to you, we recommend cancelling the order and placing a new one.

To cancel your order please click ‘cancel order' and confirm or go to ‘my orders' and cancel your order.

Please note:
You can request a cancellation only when the buttons ""cancel item"" or ""cancel order"" are active.

Cancelling an order cannot be undone, but you can always place a new order.

If you redeemed a voucher for your order, the order can only be cancelled in full.

Delivery and invoice addresses cannot be changed once you have placed an order, we advise that you cancel the order and place a new one using a different address.

Individual Zalando Partner items cannot be cancelled. You can only cancel the Partner order in full.",Orders
How do I place an order?,Order related queries,"Once you have decided on your selection place the desired item(s) in the shopping bag.

In your bag you will find all the items you have added. Before you click on ‘go to checkout' and proceed with payment to complete the order please check your choice of colour, size, and quantity

Please note:
After you confirm your order you cannot change any order details.

What happens after I place my order?
You will receive a confirmation email with your order number shortly after you order. You can check the status of your order under ‘my orders'

We will also notify you by email as soon as your delivery leaves our warehouse. This email will also provide you with your delivery tracking number.",Orders
Price changes ?,Order related queries,"Pricing on Zalando is based on independent internal calculation. Our product pricing is subject to change due to a variety of reasons including, but not limited to: availability, special offers, sales, and seasonal offers.

We always strive for the best possible prices. Make sure to check Zalando regularly so you don't miss out on any bargains!",Orders
What are limited items ?,Order related queries,"Limited items are particularly desirable items that are only available in small quantities.

Why can't I add this item to my bag?
We have a dedicated checkout for our most desirable or limited items, so the ‘Add to bag' button is replaced with ‘Buy now' to help you purchase your item more quickly!

Why can't I purchase this item?
We want to ensure that limited items (particularly desirable items that are only available in small quantities, for example) are available for our customers to order. For this reason, these items are protected by various technical security measures against being ordered, for example, by automated systems or commercially acting persons. Unfortunately, it cannot be ruled out that individual customers will not be able to complete the ordering process even though the security measures are not intended for them.",Orders
What if an item is out of stock?,Order related queries,"If an item you want is out of stock, you can register to be notified via email when it is available again.

Just click on 'Notify me' and confirm your email address.

If the item is available again within the next 3 months, we'll send you an automatic email to let you know.

Please note:
This email does not reserve the item, so if you're still interested then it's best to act quickly in case it sells out again.",Orders
How do invitations for hyped items work?,Order related queries,"How do I sign up for an invitation?
When you click on the item, you'll see a button that says ‘Sign up for an invite.' Make sure you select a colour and size before you sign up.

I got an invitation! Now what?
Congratulations! Now you can use the invitation to buy the item you wanted. Click ‘Shop now' in the email with your invite and go ahead and buy it. Remember, you can't change the colour or size of the item at this stage.

How long are invites valid for?
Invitations are typically valid for 2 hours from the time you have received them in your inbox. The validity of the invitation is clearly stated in the email with your invitation.

Why haven't I received an invitation yet?
Invites are typically limited as these items are in high demand. Once you've signed up for an invitation, you'll be in the running to get an invite for the next 7 days after the product's official release date. Invites are only sent out after the release date has been reached. If you don't get an invitation by then or the following next 7 days, we're sorry but you'll have to sign up for an invitation again when the item is back in stock.

How do I know if an item is invite-only?
You will know when an item is invite-only when you see the ‘Add to bag' button has been replaced with ‘Sign up for an invite.' Invite only items are typically in high demand and have limited stock availability.

Can I return invite-only items?
Yes, you can return invite-only items.

Can I change the size or colour after I've signed up for an invite?
Unfortunately, you cannot change the colour and size you picked after you have signed up for an invitation.

Can I sign up for multiple invitations?
Unfortunately, you can sign up for an invitation to buy an item only once. We will only consider your most recent sign-up. However, once 7 days have passed and you did not receive an invitation, you can sign up for another invitation if the product is still available.

What advantages do Plus members have to get invite only items?
We reserve dedicated stock of invite-only items for Plus members, so they're more likely to get an invite.",Orders
What can I do if I received an item I did not order?,Order related queries,"We are sorry that we have sent you an item that you did not order.

Please return the item to us and note on the return slip under reason 9 that you did not order this item.

If you still want the original item, just go ahead and place a new order. If you have already paid for the item, you will receive a refund within 14 days of the return being handed over to the carrier.",Orders
What are my payment options?,Order related queries,"We support the following payment methods:

- [Credit Card](https://www.zalando.co.uk/faq/how-do-i-pay-by-credit-card.html)

- [Paypal](https://www.zalando.co.uk/faq/how-do-i-pay-by-credit-card.html)

- [Gift Card](https://www.zalando.co.uk/faq/Vouchers)

Please note:
It might be possible that not all payment methods are available at the time of purchase. 
For more information: [Why is my preferred payment method not available?](https://www.zalando.co.uk/faq/why-is-my-preferred-payment-method-not-available.html)",Payments
How do I pay by Credit Card?,Order related queries,"You can pay by credit card using the following providers:

- MasterCard

- Visa

- Maestro

- Visa Electron

- Visa Debit

Please note:
You may see a pre-authorisation amount on your credit card, however your card will not be charged until your order is dispatched.

If you return an item you will be refunded to the original payment method.

If your order is cancelled you might still see the pre authorisation amount on your credit card statement. Depending on your bank, this may take up to 30 days to be released.

How secure are my payment transactions via Zalando?
We use certified SSL encryption for the secure transmission of your data. Your bank, PayPal, and credit card details are safe.",Payments
How do I pay by prepayment?,Order related queries,"After placing the order you will receive a confirmation email including the necessary details for the bank transfer.

Your ordered items will be reserved for you (for 7 days) until your payment is received.

We will start packing your order once we've received and processed your payment which may take up to 5 working days. For that reason the delivery time of your prepayment order may be a bit longer.

Please note:
Each order you make will need to be paid for separately.

If you return an item or if your order was cancelled, you will be refunded to the original bank account.",Payments
